@relation .//99.1x1.arff

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
2268458,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2
2268461,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2268464,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,5,0
2268465,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,5,2
2268466,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4,0
2268469,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0
2268470,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,0
2268472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268479,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2268485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268494,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268499,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0
2268504,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0
2268505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268506,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0
2268509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268520,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0
2268521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268532,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0
2268535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2268540,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2268541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268547,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0
2268548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268551,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268553,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2268554,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268555,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2268556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
