@relation .//99.1x1.arff-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
2287934,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2367712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2304498,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0
2348424,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2382254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2334139,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0
2394386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2342778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2480686,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,4,0
2314318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2312759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2323438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2344298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2435451,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0
2440681,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2341080,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2458002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2354459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326679,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0
2335756,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2312364,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2376719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446598,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0
2318083,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
2442029,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0
2343474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2457948,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0
2274975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2445180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2281735,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0
2413510,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0
2389959,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,0
2385582,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0
2273743,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,0
2347199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
2388922,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0
2273826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2318040,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2391396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2340938,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2434105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2479176,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0
2331140,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2337821,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268937,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,5,0
2438238,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0
2302761,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2486415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
